Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	12.281660	2.002073	11.866758	2.553944	1.288462	0.296772
about	11.551873	2.599494	14.281875	3.114123	1.339673	0.800786
above	11.648451	5.326382	10.972293	5.951064	3.604356	0.229628
after	11.590709	5.988995	12.874817	5.398016	1.947816	1.420901
airplane	11.696529	4.234406	11.225035	5.010688	3.004663	0.435939
all	11.990550	3.738523	12.181203	4.677841	1.562316	0.363805
alligator	12.206598	4.802921	11.606740	4.652462	3.382995	0.496522
am	11.872938	5.092311	12.128682	5.575284	2.119357	0.639345
and	11.346282	3.050550	10.667115	3.697450	1.351601	0.251774
animal	11.564405	5.254676	15.351980	4.108818	1.551450	1.787056
ankle	13.602654	7.477977	12.203763	8.072077	3.640379	0.284999
another	11.452486	3.844205	12.195619	4.067846	1.759034	0.743555
any	11.300783	3.410997	15.818963	3.000061	1.217303	1.312699
apple	11.636641	3.939510	11.440386	4.657876	2.317787	0.593026
are	10.983541	2.437870	11.462415	3.085896	1.695520	0.382226
arm	11.496160	3.739666	11.515918	3.763206	2.886863	0.728244
around	12.095486	3.324679	14.931833	2.292914	1.725505	1.558523
asleep	12.452581	3.972826	11.647189	4.149550	3.103276	0.448849
at	11.337406	1.106718	11.450998	2.016197	1.491970	0.261945
aunt	12.275456	6.867430	11.592668	7.058797	3.808428	0.402003
awake	12.100822	3.781733	11.139983	4.005156	3.639751	0.450446
away	11.480248	2.637123	12.236288	2.352985	2.322418	0.809762
baby	11.296614	2.445677	11.372693	3.800516	1.562064	0.323062
babysitter	12.505893	3.996306	11.198136	4.460786	3.928522	0.373119
back	11.235739	3.353179	15.931720	3.418975	0.832209	1.207813
backyard	11.466552	5.485190	10.669827	6.049544	3.468228	0.372335
bad	12.255410	4.732402	12.375098	4.534425	2.678640	0.796558
ball	11.938128	1.422639	14.686169	1.611973	1.755154	0.995503
balloon	11.779252	4.100650	11.462049	4.771835	2.826631	0.484699
banana	11.641390	4.757021	12.151987	4.668472	2.410815	0.911506
basement	12.645477	5.081786	11.999148	4.310945	3.548384	0.771443
basket	12.210717	3.073255	12.154800	2.871689	2.854668	0.701762
bat	13.868915	4.704851	12.127607	4.820813	3.149965	0.526547
bath	11.083890	3.084420	10.866131	2.574538	2.875357	0.769612
bathroom	11.519519	3.669359	10.760399	4.549380	3.179536	0.555502
bathtub	11.813346	5.864059	11.388445	6.794390	3.005886	0.605311
be	12.415498	2.772935	12.806317	3.145352	1.496348	0.502967
beach	11.890688	3.136790	10.651607	3.523903	3.160226	0.399299
beads	13.238755	5.162484	11.879767	5.210004	3.396893	0.617781
beans	11.946174	3.677983	11.675218	3.526582	3.324996	0.548722
bear	11.219486	2.609754	11.893173	2.397816	2.479048	0.841567
because	11.508480	4.860402	12.860059	5.267916	1.528068	0.611277
bed	12.136715	3.876625	12.409641	3.417392	2.622201	0.854854
bedroom	11.901481	3.996721	11.133157	4.636447	3.137799	0.323207
bee	11.448401	3.233486	16.448401	-1.766514	2.589827	2.772152
before	11.555423	4.885688	15.888204	1.113517	2.331130	2.364496
behind	11.870195	3.262141	12.670743	-1.737859	3.824713	1.736496
belly	11.982140	4.871872	15.634539	3.753081	1.648264	1.711314
belt	13.220670	5.457614	11.687415	5.362302	3.482169	0.441216
bench	13.507476	5.280057	11.995678	5.356589	3.617421	0.341211
beside	12.667590	7.131492	10.952062	7.735854	3.858138	0.212357
better	11.102169	4.061418	16.102169	0.957992	1.862250	2.467867
bib	11.540021	4.684763	12.105874	5.231625	2.534479	0.936923
bicycle	13.078649	3.701568	11.889304	4.144566	3.196136	0.455511
big	11.582158	4.654518	11.163856	5.249659	1.538226	0.238858
bird	11.566805	4.128992	11.253809	4.096699	2.646462	0.823541
bite	11.598158	4.193694	12.277870	4.840475	2.270683	0.816571
black	11.711916	3.823901	11.534258	3.498642	2.891539	0.683835
blanket	11.987246	4.263794	11.772725	5.131256	2.840738	0.528964
block	11.458468	3.634455	12.080978	2.118797	3.160538	1.081040
blow	11.729413	5.205675	11.451141	5.080814	3.016205	0.738141
blue	11.319184	3.788319	12.410665	3.483624	2.209737	0.990074
boat	12.996045	4.216481	11.670589	5.017499	2.754361	0.342879
book	11.307241	2.758121	13.228868	3.849732	1.235357	0.648854
boots	12.907085	4.338399	11.686715	4.411748	3.266210	0.375016
bottle	11.408923	3.851655	16.408923	4.024246	0.769293	1.361082
bowl	11.980225	4.153655	12.151303	4.188029	2.605708	0.735811
box	11.913289	2.420742	12.103617	2.283341	2.366480	0.845813
boy	11.559252	2.967025	12.235199	3.414928	1.917854	0.585264
bread	11.570498	4.371542	16.570498	2.824596	1.335968	1.856287
break	12.272937	3.806686	12.067652	3.758635	2.722010	0.655249
breakfast	11.599661	3.765986	11.427937	3.623438	2.750508	0.768323
bring	12.159633	4.815978	12.583395	4.998382	2.059827	0.741737
broken	11.821328	4.868660	11.038786	5.486258	2.977066	0.343578
broom	13.512232	4.814782	12.024550	4.509005	3.666318	0.473185
brother	11.656977	3.745721	12.406874	-0.834946	3.900608	1.609317
brown	12.083618	4.040593	11.702372	3.560791	3.093411	0.903149
brush	11.910553	3.723870	11.348102	4.032698	3.170083	0.597378
bubbles	11.471717	4.601703	11.535935	3.146628	3.526114	1.032862
bucket	11.567251	6.206617	11.431219	6.825505	2.430599	0.621040
bug	11.784970	4.699838	10.508615	4.412772	3.426215	0.662690
build	11.547021	4.188092	12.008161	3.646937	2.654373	1.118349
