"ckey","ii","n_admins","xi_median","xi_q5","xi_q95","slope_median","slope_q5","slope_q95"
"Smith::10265",1,5,-11.920131,-12.29425495,-11.553377,0.348507185,0.3084674095,0.390740565
"Smith::10485",2,3,-11.36817,-11.72018585,-11.02848705,0.564924145,0.526621258,0.6039445175
"Smith::10520",3,4,-9.9409086,-10.14611245,-9.742577285,0.261160825,0.237642285,0.285002677
"Smith::10600",4,4,-7.31159625,-7.44148907,-7.186275345,0.29114977,0.269133703,0.312097159
"Smith::10631",5,3,-9.30123565,-9.550096315,-9.05814882,0.7344762,0.6997468895,0.769360252
"Smith::10659",6,3,-11.6119205,-11.9446019,-11.2914406,0.97160483,0.9083913915,1.036268125
"Smith::10750",7,7,-10.1769205,-10.3310345,-10.03053265,1.10282735,1.04509648,1.16699879
"Smith::10805",8,4,-10.578029,-10.81076775,-10.34751155,1.00069615,0.9606672505,1.04081815
"Smith::10807",9,6,-8.95569755,-9.077361095,-8.83128235,0.483714435,0.456177639,0.5103606855
"Smith::10864",10,5,-10.4734105,-10.66545705,-10.27111235,0.425035505,0.399363664,0.4514754035
"Smith::10877",11,5,-12.615462,-13.05736595,-12.2285598,0.17670689,0.05006136305,0.3051959305
"Smith::10900",12,8,-7.90704275,-7.997065875,-7.81998248,0.564021715,0.542423884,0.586144558
"Smith::10958",13,5,-11.250206,-11.4566113,-11.0493762,0.742207085,0.7107373255,0.774134641
"Smith::10969",14,3,-8.95809905,-9.181600225,-8.741251195,0.42038299,0.3968278155,0.4452241335
"Smith::11000",15,9,-10.0485795,-10.1792929,-9.92131602,0.851956165,0.8260297255,0.877107453
"Smith::11002",16,4,-10.959295,-11.1999026,-10.7329788,0.68061772,0.651057235,0.7127222635
"Smith::11007",17,5,-8.79827,-8.922850605,-8.67882224,0.671348265,0.6414607765,0.702080567
"Smith::11011",18,8,-6.81355585,-6.90784313,-6.720804535,1.1325825,1.09082498,1.173044225
"Smith::11081",19,3,-10.2937725,-10.52571985,-10.06823105,0.49192949,0.462459164,0.522120566
"Smith::11133",20,3,-9.0737508,-9.29375093,-8.854467675,0.678314045,0.6412103835,0.71685779
"Smith::11205",21,4,-11.1792495,-11.4975446,-10.8625927,0.605245725,0.5516417765,0.660386942
"Smith::11246",22,4,-9.9879131,-10.1676388,-9.810065335,0.54362818,0.520004204,0.566785718
"Smith::11526",23,3,-5.3765822,-5.76976067,-4.98841687,-0.046540144,-0.0874619946,-0.00457275303000002
"Smith::11556",24,3,-9.0711459,-9.306210815,-8.844514785,0.426026535,0.4000163195,0.4531481035
