"item","jj","delta_j","delta_j_q5","delta_j_q95","delta_j_rhat","delta_j_ess","emp_prod","n_obs"
"id:I",1,-0.57936048,-0.7338832805,-0.43172691,1.00118024392831,5793.33038727312,0.324648254299114,1919
"id:backyard",2,0.506720375,0.3716871945,0.6348543435,1.00004102379083,6198.90278452275,0.249088066701407,1919
"id:couch",3,-0.201156755,-0.3520331815,-0.0532325461500001,1.0006431836799,6557.41073707741,0.300156331422616,1919
"id:her",4,1.61119205,1.48600007,1.73330184,1.00044678301714,7931.70243757143,0.154768108389786,1919
"id:his",5,1.7741707,1.64448861,1.908007515,1.00653515940852,8152.96975807097,0.140698280354351,1919
"id:it",6,0.217104785,0.07339790305,0.3557343695,1.00297921552233,6205.69419430458,0.270974465867639,1919
"id:me",7,-1.2951988,-1.43685381,-1.15344409,1.00032171662125,6857.03496069398,0.372068785825951,1919
"id:mine",8,-1.6115361,-1.742000005,-1.4827921,1.0023692283024,6682.13997176238,0.395518499218343,1919
"id:my",9,-0.312727995,-0.462195233,-0.159962795,1.00226419595457,6558.18113870219,0.30745179781136,1919
"id:noodles",10,-0.314181685,-0.4612805215,-0.163400441,1.00225861472225,7708.14227476852,0.30745179781136,1919
"id:spaghetti",11,-0.24739031,-0.3946247185,-0.0998551008,1.00128492699183,5910.15406813651,0.303282959874935,1919
"id:trash",12,-0.139896105,-0.2859823315,0.00601621061999999,1.00240001064063,5993.2451158079,0.295987493486191,1919
"ul:2SG",13,-0.46417194,-0.606258185,-0.3159355895,1.00012566282571,6126.13545157423,0.31735278791037,1919
"ul:2SG.POSS",14,1.21737605,1.095754815,1.342438865,1.00227689803747,7281.77825548957,0.189161021365294,1919
"ul:airplane",15,-1.85360535,-1.97819535,-1.726841955,1.00033533139574,7418.548947227,0.415841584158416,1919
"ul:all",16,0.254573655,0.1085613015,0.390146599,1.00086347088161,5885.6145241338,0.268368942157374,1919
"ul:all gone",17,-2.4371445,-2.54938887,-2.319913175,1.00032175255682,7325.24863159552,0.473163105784263,1919
"ul:animal",18,-0.15587614,-0.3037861965,-0.00720638505500006,1.00026896103288,6827.85533188379,0.297029702970297,1919
"ul:another",19,1.0448057,0.912781062,1.17399866,1.00239974526676,8020.91976791567,0.204273058884836,1919
"ul:apple",20,-2.3347077,-2.45115274,-2.220980675,1.00015046436012,7092.88652128515,0.462219906201146,1919
"ul:arm",21,-0.93097432,-1.07578419,-0.7832225235,0.999897800226238,5899.35372981945,0.3470557582074,1919
"ul:asleep",22,0.02832745,-0.11449197,0.168346973,1.0000957903446,6193.73572033848,0.284523189161021,1919
"ul:aunt",23,0.211046875,0.0719614194,0.351952402,0.999976740241871,6269.73814751465,0.271495570609693,1919
"ul:away",24,0.6135427,0.478079061,0.741037706,1.00089799065208,6969.06092053679,0.240750390828557,1919
"ul:baa baa",25,-3.0863172,-3.191794385,-2.9802235,1.00159657911815,8240.89437288229,0.552371026576342,1919
"ul:baby",26,-3.43860805,-3.53909256,-3.335852695,1.00050108159375,6898.17245890829,0.600312662845232,1919
"ul:babysitter",27,2.06381835,1.924743645,2.205152415,1.00063055554271,8075.45733400173,0.117248566961959,1919
"ul:babysitter's name",28,-0.62153919,-0.7708706835,-0.4688539165,1.00205117624847,5805.29995537626,0.32725377800938,1919
"ul:back (location)",29,0.344480315,0.206025644,0.48143744,1.00038239719926,6847.92305070591,0.261594580510683,1919
"ul:bad",30,-0.0384699435,-0.181471543,0.0965180531,1.0008488663265,5391.08484368399,0.2892131318395,1919
