Token	MaxSurprisal	MinSurprisal	ParamUpper	ParamLower	ParamXmid	ParamScale
a	11.160103	2.148603	11.061063	2.677855	1.385801	0.300124
about	10.825104	2.827734	13.717687	2.766616	1.398330	1.022553
above	12.659210	5.571900	11.325652	6.235092	3.431738	0.237555
after	11.570850	6.205288	12.622035	6.369788	1.600788	1.066116
airplane	11.897639	4.794673	12.099594	3.465080	3.123527	1.011099
all	11.493764	4.083990	11.449817	5.148010	1.479296	0.264421
alligator	12.376858	5.163697	10.661679	5.412133	3.487057	0.317995
am	12.392893	5.397296	11.826156	5.840392	2.148024	0.512468
and	12.156353	3.133855	11.609231	3.792706	1.354011	0.251312
animal	12.332102	5.546352	17.332102	3.864415	1.127203	1.993679
ankle	13.698694	7.664294	11.955918	8.631144	3.571649	0.230502
another	11.000346	4.210787	11.896497	4.500775	1.694114	0.626553
any	10.963697	3.097180	15.963697	0.598613	1.585185	1.996593
apple	11.642366	4.054390	15.315575	2.671139	1.778320	1.653274
are	11.559715	2.598976	11.460738	3.250726	1.599354	0.365706
arm	12.451965	4.478502	12.789524	4.243099	2.565977	0.753539
around	10.889180	3.799612	15.889180	1.929975	1.364451	2.036635
asleep	11.881820	4.084918	11.347343	3.717903	3.217700	0.544058
at	11.522569	0.959713	12.406166	1.695332	1.493344	0.561402
aunt	12.531496	8.039262	11.242514	8.743472	3.325883	0.101146
awake	12.790272	4.658727	11.574855	4.262149	3.544997	0.538066
away	12.552853	2.719198	14.438858	2.307474	1.914617	0.941804
baby	10.266833	2.552733	15.266833	2.605091	0.685466	1.434417
babysitter	12.990969	6.395280	11.758887	6.942270	3.641811	0.310193
back	11.960828	3.573426	14.003864	4.393140	1.299018	0.672225
backyard	12.096053	5.333108	11.093443	5.384433	3.462791	0.370560
bad	12.580488	4.952413	13.406770	3.557922	2.645746	1.210262
ball	12.033963	1.844451	17.033963	0.457923	1.349930	1.552076
balloon	11.714681	5.116574	11.975165	4.844367	2.598890	0.807750
banana	11.728228	5.195731	16.728228	0.195731	2.540405	2.630472
basement	12.820568	5.947466	12.446722	3.617686	3.829237	0.965933
basket	11.366686	3.229957	12.562095	-1.770043	3.687113	1.486917
bat	12.021331	5.469924	11.253328	5.445507	3.297578	0.493946
bath	10.886740	3.146224	11.586709	1.563287	2.937004	0.996281
bathroom	11.951694	5.037397	12.106624	5.153880	2.793000	0.723709
bathtub	13.376313	6.365475	11.725136	6.091521	3.368262	0.586218
be	12.514049	2.908805	12.596250	3.533773	1.673908	0.363590
