step,epoch,word,n_occurrences,mean_nll,sum_nll
1,0.0005333333333333334,a,50,9.280231,464.011537
1,0.0005333333333333334,about,50,10.768715,538.435731
1,0.0005333333333333334,above,50,10.956712,547.835588
1,0.0005333333333333334,after,50,10.719564,535.978175
1,0.0005333333333333334,airplane,50,11.122927,556.146355
1,0.0005333333333333334,all,50,10.919412,545.970596
1,0.0005333333333333334,alligator,50,9.961169,498.058455
1,0.0005333333333333334,am,50,10.802357,540.117852
1,0.0005333333333333334,and,50,10.920503,546.025169
1,0.0005333333333333334,animal,50,10.742918,537.145897
1,0.0005333333333333334,ankle,5,10.567195,52.835974
1,0.0005333333333333334,another,50,10.847902,542.395121
1,0.0005333333333333334,any,50,11.438834,571.941719
1,0.0005333333333333334,apple,50,10.228538,511.426888
1,0.0005333333333333334,are,50,10.626117,531.305829
1,0.0005333333333333334,arm,50,10.995625,549.781225
1,0.0005333333333333334,around,50,10.908045,545.402260
1,0.0005333333333333334,asleep,50,9.933078,496.653886
1,0.0005333333333333334,at,50,11.696233,584.811673
1,0.0005333333333333334,aunt,42,10.980002,461.160068
1,0.0005333333333333334,awake,50,11.443262,572.163095
1,0.0005333333333333334,away,50,12.006164,600.308217
1,0.0005333333333333334,baby,50,10.334817,516.740862
1,0.0005333333333333334,babysitter,11,11.470458,126.175043
1,0.0005333333333333334,back,50,11.187024,559.351224
1,0.0005333333333333334,backyard,19,10.543695,200.330205
1,0.0005333333333333334,bad,50,11.733271,586.663557
1,0.0005333333333333334,ball,50,11.786452,589.322612
1,0.0005333333333333334,balloon,50,11.349115,567.455772
1,0.0005333333333333334,banana,50,10.474621,523.731052
1,0.0005333333333333334,basement,26,11.052341,287.360857
1,0.0005333333333333334,basket,50,10.885847,544.292338
1,0.0005333333333333334,bat,50,10.551777,527.588850
1,0.0005333333333333334,bath,50,10.602246,530.112318
1,0.0005333333333333334,bathroom,50,11.161922,558.096117
1,0.0005333333333333334,bathtub,31,11.086704,343.687812
1,0.0005333333333333334,be,50,10.035985,501.799247
1,0.0005333333333333334,beach,50,10.385494,519.274701
1,0.0005333333333333334,beads,50,11.910053,595.502648
1,0.0005333333333333334,beans,50,11.585671,579.283527
1,0.0005333333333333334,bear,50,9.970732,498.536621
1,0.0005333333333333334,because,50,10.735250,536.762476
1,0.0005333333333333334,bed,50,10.507353,525.367668
1,0.0005333333333333334,bedroom,50,10.790486,539.524283
1,0.0005333333333333334,bee,50,10.583957,529.197874
1,0.0005333333333333334,before,50,11.760381,588.019027
1,0.0005333333333333334,behind,50,10.490152,524.507603
1,0.0005333333333333334,belly,50,10.960310,548.015486
1,0.0005333333333333334,belt,50,11.628345,581.417246
1,0.0005333333333333334,bench,50,10.883141,544.157074
1,0.0005333333333333334,beside,50,11.591572,579.578586
1,0.0005333333333333334,better,50,10.397919,519.895947
1,0.0005333333333333334,bib,50,10.471921,523.596030
1,0.0005333333333333334,bicycle,50,10.816850,540.842479
1,0.0005333333333333334,big,50,9.962121,498.106066
1,0.0005333333333333334,bird,50,10.952008,547.600389
1,0.0005333333333333334,bite,50,11.170062,558.503089
1,0.0005333333333333334,black,50,12.092968,604.648393
1,0.0005333333333333334,blanket,50,11.023751,551.187533
1,0.0005333333333333334,block,50,10.870203,543.510169
1,0.0005333333333333334,blow,50,11.484056,574.202788
1,0.0005333333333333334,blue,50,11.598979,579.948945
1,0.0005333333333333334,boat,50,10.782130,539.106524
1,0.0005333333333333334,book,50,10.894815,544.740731
1,0.0005333333333333334,boots,50,11.753716,587.685821
1,0.0005333333333333334,bottle,50,11.038365,551.918236
1,0.0005333333333333334,bowl,50,10.730455,536.522751
1,0.0005333333333333334,box,50,10.976813,548.840637
1,0.0005333333333333334,boy,50,11.279220,563.960993
1,0.0005333333333333334,bread,50,10.968728,548.436412
1,0.0005333333333333334,break,50,12.178079,608.903931
1,0.0005333333333333334,breakfast,50,10.310096,515.504800
1,0.0005333333333333334,bring,50,10.280758,514.037892
1,0.0005333333333333334,broken,50,10.179224,508.961191
1,0.0005333333333333334,broom,50,10.840855,542.042740
1,0.0005333333333333334,brother,50,11.443604,572.180198
