"spec","n_kids","channel","term","est","lo","hi","p","model_type"
"input_common",142,"input","level",0.285485083871161,-0.0725134264517957,0.643483594194118,0.118053190898128,"glmer"
"input_common",142,"input","acceleration",0.917542513591043,0.23382613814227,1.60125888903982,0.00853080280465339,"glmer"
"proc_common",142,"processing","level",0.661552938113663,0.32381905549575,0.999286820731577,0.000123412282551038,"glmer"
"proc_common",142,"processing","acceleration",0.473887929977346,-0.219843652383129,1.16761951233782,0.180611148756643,"glmer"
"both_common",142,"input","level",0.126104339899563,-0.229179535034085,0.481388214833211,0.486628160054821,"glmer"
"both_common",142,"processing","level",0.625086478647064,0.274598806346201,0.975574150947927,0.000472972951398367,"glmer"
"both_common",142,"input","acceleration",0.844953430624363,0.14260232377594,1.54730453747279,0.0183761726978593,"glmer"
"both_common",142,"processing","acceleration",0.249321654579801,-0.48242388325,0.981067192409603,0.504251867856547,"glmer"
"input_full",193,"input","level",0.351,0.052921738439723,0.649078261560277,0.021,"glmer"
"input_full",193,"input","acceleration",0.903,0.306626585458633,1.49937341454137,0.003,"glmer"
"proc_full",326,"processing","level",0.58,0.393926391527738,0.766073608472262,1e-12,"glmer"
"proc_full",326,"processing","acceleration",0.182,-0.247290058988713,0.611290058988713,0.406,"glmer"
"SM2_bayes",193,"input","level",0.358,0.321,0.399,NA,"Bayesian (SM2 D3)"
"SM2_bayes",193,"input","acceleration",0.250958,-0.175062,0.676978,NA,"Bayesian (SM2 D3)"
